id,name,description,address,locales,website,phone,lat,long,photo,new,secondhand,charity,open,checked,rgl,twitter,elweguardian,leytonstoner,londonist,cgc,londonbooks,tol,bookdealer,reading_matters,blog,topfloorflat,thebookguide,harringayonline,rttimes,bluestocking,bookseller,hornseyroad,hackneycitizen,peckhampeculiar,yelp,deptforddame,getwestlondon,dalemcgowan,dg,londonse1,greenwichphantom,londonstuff,hamhigh,andrewwhitehead,timeout,guardian,robaroundbooks,flickr,bibliophilicblogger,inews,spitalfieldslife,foodiefoodie,secentral,kenningtonrunoff,ft,foodiebugle,lauraashley,pandorian,tiredoflondon,bookloverslondon,abebooks,ianvisits,brockleycentral
archive-bookstore,Archive Bookstore,Secondhand books and sheet music.,"83 Bell Street, NW1 6TB",,http://www.archivebookstore.co.uk/,,51.521667,-0.167102,https://www.flickr.com/photos/kake_pugh/3685228953/,false,true,false,true,November 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arthur-probsthain,Arthur Probsthain,Asian and African books.,"41 Great Russell Street, WC1B 3PE",,https://www.teaandtattle.com/bookshop,,51.517921,-0.126815,https://www.flickr.com/photos/kake_pugh/45135847061/,unknown,unknown,false,true,October 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
artwords,Artwords,,"69 Rivington Street, EC2A 3QQ",,http://www.artwords.co.uk/aboutus/,,51.526207,-0.080917,https://www.flickr.com/photos/kake_pugh/28124749104/,unknown,unknown,false,true,July 2016,,,,,http://londonist.com/2009/09/biblio-text_artwords.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atlantis-bookshop,Atlantis Bookshop,Allegedly London's oldest independent occult booksellers.,"49a Museum Street, WC1A 1LY",,http://www.theatlantisbookshop.com/,,51.517597,-0.125227,https://www.flickr.com/photos/rjw1/8512079743/,unknown,unknown,false,true,February 2013,,,,,http://londonist.com/2009/07/biblio-text_atlantis_bookshop.php,,http://londonbooks.tumblr.com/post/126816086946/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bookshop-at-chelsea-harbour-design-centre,The Bookshop At,Lifestyle and design books.,"Chelsea Harbour Design Centre, Harbour Road, Fulham, SW10 0XE",,http://www.thebookshopat.com/,,51.476402,-0.18341133,,,,,true,,,,,,,,http://londonbooks.tumblr.com/post/152805543532/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jos-bookshop-chingford,Jo's Bookshop,"Previously known as The Bargain Bookshop and The Bookshop North Chingford.  It has a good selection of children's books, plus non-fiction, general fiction, cards, and crystals.","135 Station Road, E4 6AG",,https://www.hive.co.uk/Shops/Chingford-Bookshop-London,020 8524 9002,51.63279,0.008497,https://www.flickr.com/photos/kake_pugh/37105987665/,unknown,unknown,false,true,September 2017,,ChingfordBooks,,,,,http://londonbooks.tumblr.com/post/144392525806/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barnards-bookshop-uxbridge,Barnard's Bookshop,,"50 Windsor Street, Uxbridge, UB8 1AB",,,,51.545675,-0.4800788,https://www.flickr.com/photos/kake_pugh/38600397081/,unknown,unknown,false,true,November 2017,,,,,,,http://londonbooks.tumblr.com/post/151875367111/barnards-bookshop-ub8-at-the-end-of-the,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barnes-bookshop,Barnes Bookshop,"Run by the same people as the <a href=""http://londonbookshops.org/shops/kew-bookshop.html"">Kew Bookshop</a> and the <a href=""http://londonbookshops.org/shops/sheen-bookshop.html"">Sheen Bookshop</a>.","60 Church Road, SW13 0DQ",,,020 8741 0786,51.474792,-0.240583,https://flickr.com/photos/kake_pugh/2977997334/,unknown,unknown,false,true,July 2013,,,,,,,http://londonbooks.tumblr.com/post/138402270125/,http://www.tiredoflondontiredoflife.com/2014/10/buy-books-at-barnes-bookshop.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beaumont-travel-books,Beaumont Travel Books,,"33 Couthurst Road, SE3 8TN",,http://www.abebooks.com/beaumont-travel-books-aba-ilab-london/10321/sf,,51.478619,0.026414,,unknown,unknown,false,true,,,,,,,,,,http://www.sheila-markham.com/interviews/gabriel-beaumont.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beckenham-bookshop,Beckenham Bookshop,,"42 High Street, BR3 1AY",,http://www.beckenhambooks.com/,020 8650 9744,51.409573,-0.02532,https://www.flickr.com/photos/kake_pugh/6318029673/,true,unknown,false,true,February 2020,,beckenhambooks,,,,,http://londonbooks.tumblr.com/post/142943802761/beckenham-bookshop-br3-here-we-have-a-marvellous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
belgravia-books,Belgravia Books,,"59 Ebury Street, SW1W 0NZ",,http://www.belgraviabooks.com/,,51.495122,-0.147989,,true,false,false,true,February 2012,,BelgraviaB,,,,,http://londonbooks.tumblr.com/post/127932057861/,,,http://web.archive.org/web/20120711022026/http://kimbofo.typepad.com/readingmatters/2012/02/a-visit-to-belgravia-books-london.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bernard-quaritch-mayfair,Bernard Quaritch,,"40 South Audley Street, Mayfair, W1K 2PR",,http://www.quaritch.com/,020 7297 4888,51.509884,-0.15181799,,false,true,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bertram-rota,Bertram Rota,"Previously in Covent Garden, it closed its London premises in 2013 and moved all its operations to Kintbury in Berkshire.  Modern first editions, architecture and the applied arts, private press books.","31 Long Acre, Covent Garden, WC2E 9LT",,http://www.bertramrota.co.uk/,,51.512634,-0.12498,,unknown,unknown,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
big-green-bookshop,Big Green Bookshop,,"Unit 1, Brampton Park Road, Wood Green, N22 6BG",,http://www.biggreenbookshop.com/,020 8881 6767,51.592432,-0.10657851,https://flickr.com/photos/kake_pugh/2570192318/,true,unknown,false,true,December 2012,https://london.randomness.org.uk/wiki.cgi?Big_Green_Bookshop,BigGreenBooks,,,,,,,,,http://woodgreenbookshop.blogspot.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
black-gull-books-camden,Black Gull Books (Camden),,"70-71 Camden Lock Place, Camden Lock Market, NW1 8AF",,,,51.541279,-0.146556,https://www.flickr.com/photos/kake_pugh/48676221801/,unknown,unknown,false,true,September 2019,,,,,,,http://londonbooks.tumblr.com/post/109142890441/black-gull-books-nw1-fight-through-the-crowds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
black-gull-books-east-finchley,Black Gull Books (East Finchley),,"121 High Road, N2 8AG",,,,51.590736,-0.164945,https://www.flickr.com/photos/kake_pugh/9458010537/,false,true,false,true,August 2013,"https://london.randomness.org.uk/wiki.cgi?Black_Gull_Books,_N2_8AG",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blackwells-holborn,Blackwell's (Holborn),"Previously at 100 Charing Cross Road, but <a href=""https://www.thebookseller.com/news/look-inside-new-blackwells-holborn"">relocated to Holborn</a> in 2014/2015.","50 High Holborn, WC1V 6EP",,https://blackwells.co.uk/,020 7292 5100,51.51825,-0.11488263,https://www.flickr.com/photos/kake_pugh/44223965235/,unknown,unknown,false,true,October 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blackwells-wellcome,Blackwell's at the Wellcome Collection,,"183 Euston Road, NW1 2BE",,https://blackwells.co.uk/,020 7611 2160,51.526007,-0.13402918,,unknown,unknown,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blenheim-books,Blenheim Books (incorporating Garden Books),Closed down by May 2012.,"11 Blenheim Crescent, W11 2EE",,,,51.515694,-0.205275,,unknown,unknown,false,false,,,,,,http://londonist.com/2009/04/biblio-text_blenheim_books,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bolingbroke-bookshop,Bolingbroke Bookshop,Closed in spring 2013.,"147 Northcote Road, SW11 6QB",,,,51.455383,-0.164559,,unknown,unknown,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
book-aid-lower-sydenham,Book Aid,Christian charity bookshop selling secular as well as religious second-hand books.,"Bromley House, Kangley Bridge Road, Lower Sydenham, SE26 5AQ",,http://www.book-aid.org/,020 8778 2145,51.421985,-0.035868377,,false,true,true,true,,,BookAidTrust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
book-and-comic-exchange,Book and Comic Exchange,Closed down by April 2017.,"14 Pembridge Road, W11 3HL",,,,51.509609,-0.197024,https://www.flickr.com/photos/kake_pugh/9892234965/,unknown,unknown,false,false,September 2013,,,,,,,http://londonbooks.tumblr.com/post/139716563601/,,,,,http://www.thetopfloorflat.com/2009/03/book-and-comic-exchange-in-notting-hill/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
book-and-kitchen-notting-hill,Book and Kitchen,"Bookshop, cafe, and art gallery.","31 All Saints Road, Notting Hill, W11 1HE",,http://www.bookandkitchen.com/,020 3417 8266,51.518492,-0.20431647,,true,true,false,true,,,BookandKitchen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
book-and-record-bar-west-norwood,The Book and Record Bar,,"20 Norwood High Street, West Norwood, SE27 9NR",,,020 8670 9568,51.430623,-0.10207643,https://www.flickr.com/photos/kake_pugh/47971742412/,unknown,unknown,false,true,,,BooknRecordBar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bookartbookshop,Bookartbookshop,,"17 Pitfield Street, N1 6HB",,http://www.bookartbookshop.com/,,51.527184,-0.083835,https://www.flickr.com/photos/kake_pugh/28665103991/,unknown,unknown,false,true,,,,,,,,http://londonbooks.tumblr.com/post/153771876566/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
book-box,Book Box,Closed down by June 2014.,"53 Chatsworth Road, E5 0LH",,,,51.553326,-0.044889,https://www.flickr.com/photos/55935853@N00/3445053887/,unknown,unknown,false,false,March 2009,,,,,http://londonist.com/2010/10/biblio-text_the_bookbox.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bookcase,Bookcase,,"268 Chiswick High Road, W4 1PD",,,,51.492725,-0.257857,https://www.flickr.com/photos/kake_pugh/2493193263/,unknown,unknown,false,true,July 2013,"https://london.randomness.org.uk/wiki.cgi?Bookcase,_W4_1PD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bookends,Bookends,,"108 Charing Cross Road, WC2H 0JN",,,,51.514393,-0.129583,,unknown,unknown,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
book-haus,Book Haus,,"70 Cadogan Place, SW1X 9AH",,http://www.hauspublishing.com/,,51.494617,-0.156657,https://www.flickr.com/photos/55935853@N00/3990676509/,unknown,unknown,false,true,August 2009,,,,,,,http://londonbooks.tumblr.com/post/121770865336/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bookmarks,Bookmarks,,"1 Bloomsbury Street, WC1B 3QE",,http://www.bookmarksbookshop.co.uk/cgi/store/bookmark.cgi,,51.517155,-0.127351,https://www.flickr.com/photos/kake_pugh/45135845251/,unknown,unknown,false,true,October 2018,"https://london.randomness.org.uk/wiki.cgi?Bookmarks,_WC1B_3QE",Bookmarks_books,,,,,,,,,,,http://web.archive.org/web/20170708034058/http://www.inprint.co.uk/thebookguide/shops/multi.php?id=2609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
books4less,Books4Less,,"Unit 11, InShops Centre, 35-43 High Street, HA3 7AE",,,,51.594256,-0.33477,,true,true,false,true,,,,,,,,,,,,,,http://web.archive.org/web/20120718200129/http://www.inprint.co.uk/thebookguide/shops/multi.php?id=1509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
books-and-bygones,Books and Bygones,May be more of an antique shop?,"52 Hayes Street, BR2 7LD",,,,51.37904,0.01766,,unknown,unknown,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
books-bought-and-sold,Books Bought and Sold,"Previously a bricks-and-mortar store in East Molesey, it <a href=""http://www.getsurrey.co.uk/business/s/2128018_independent_rare_bookshop_moves_entirely_online"">went online only</a> in early 2013, though they still sell at book fairs, and stock can be viewed by appointment.","68 Walton Road, KT8 0DL",,http://www.booksinstore.co.uk/,,51.399555,-0.353773,https://www.flickr.com/photos/kake_pugh/9704120654/,unknown,unknown,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bookseller-crow-on-the-hill,Bookseller Crow On The Hill,Independent family-run bookshop in Crystal Palace.,"50 Westow Street, SE19 3AF",,http://www.booksellercrow.com/,020 8771 8831,51.417435,-0.082054,https://www.flickr.com/photos/kake_pugh/8252068163/,true,false,false,true,December 2012,"https://london.randomness.org.uk/wiki.cgi?Bookseller_Crow_On_The_Hill,_SE19_3AF",booksellercrow,,,http://londonist.com/2009/05/biblio-text_bookseller_crow_on_the_1.php,,,,,,http://booksellercrow.typepad.com/the_bedside_crow/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
books-for-amnesty,Books For Amnesty,"Secondhand bookshop with profits going to Amnesty International.  Previously at 139b King Street (<a href=""http://www.flickr.com/photos/kake_pugh/3649058402/"">photo</a>); moved to 181 King Street in 2015.","181 King Street, W6 9JT",,https://www.amnesty.org.uk/amnesty-bookshop-hammersmith,020 8222 8158,51.49263,-0.233447,https://www.flickr.com/photos/kake_pugh/24888632979/,unknown,true,true,true,February 2016,"https://london.randomness.org.uk/wiki.cgi?Books_For_Amnesty,_W6_9JT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
books-for-children-hornsey,Books For Children,,"77 Tottenham Lane, Hornsey, N8 9BE",,,07918 806055,51.583983,-0.11614327,,,,,true,,,,,,,,,,,,,,,http://www.harringayonline.com/forum/topics/great-children-s-book-shop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
books-for-cooks,Books For Cooks,,"4 Blenheim Crescent, W11 1NN",,http://www.booksforcooks.com/,,51.515827,-0.20565,,unknown,unknown,false,true,,"https://london.randomness.org.uk/wiki.cgi?Books_For_Cooks,_W11_1NN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bookshop-loughton,The Book Shop (Loughton),,"150 High Road, IG10 4BE",,,,51.645866,0.053172,https://www.flickr.com/photos/kake_pugh/9442525157/,unknown,unknown,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bookshop-hampton,The Book Shop (Hampton),,"Hampton Railway Station, Ashley Road, TW12 2HU",,,,51.416004,-0.372033,,unknown,unknown,false,true,,,,,,,,,,,,,,,,http://www.richmondandtwickenhamtimes.co.uk/news/868906.struggling_to_keep_up_the_good_work/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bookshop-hackney,The Book Shop (Hackney),"<a href=""http://www.hackneycitizen.co.uk/"">Hackney Citizen</a> says it's a second-hand bookshop with an emphasis on black and children's literature.","58 Clarence Road, E5 8HB",,,,51.550953,-0.055382,,false,true,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bookshop-on-the-heath,Bookshop on the Heath,,"74 Tranquil Vale, SE3 0BW",,http://www.bookshopontheheath.co.uk/,,51.466827,0.007274,https://www.flickr.com/photos/kake_pugh/5694008238/,false,true,false,true,May 2011,https://london.randomness.org.uk/wiki.cgi?Bookshop_On_The_Heath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
books-ink,Books Ink,"No longer open.  As of August 2013 the premises are occupied by a branch of Albemarle Bond (<a href=""http://www.flickr.com/photos/kake_pugh/9517315977/"">photo</a>).","134 Walthamstow High Street, E17 7JS",,,,51.58263,-0.029569,,false,true,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bookstop,Bookstop,,"375 Upper Richmond Road, SW14 7NX",,,,51.464409,-0.267835,,unknown,unknown,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
book-warehouse-camden-town,Book Warehouse (Camden Town),,"155 Camden High Street, NW1 7JY",,http://www.thebookwarehouse.co.uk/,020 7482 4375,51.538113,-0.1421084,https://www.flickr.com/photos/kake_pugh/21174860282/,true,false,false,true,September 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
book-warehouse-holborn,Book Warehouse (Holborn),,"120 Southampton Row, WC1B 5AB",,http://www.thebookwarehouse.co.uk/,,51.520667,-0.12290606,https://www.flickr.com/photos/kake_pugh/14016457691/,true,false,false,true,April 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
book-warehouse-islington,Book Warehouse (Islington),,"28 Upper Street, Islington, N1 0PN",,http://www.thebookwarehouse.co.uk/,,51.534484,-0.10530312,https://www.flickr.com/photos/kake_pugh/26472508031/,true,false,false,true,April 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
book-warehouse-notting-hill,Book Warehouse (Notting Hill),,"72-74 Notting Hill Gate, W11 3HT",,http://www.thebookwarehouse.co.uk/,020 7727 4149,51.509227,-0.1962001,https://www.flickr.com/photos/kake_pugh/16557892399/,true,false,false,true,March 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
book-warehouse-waterloo,Book Warehouse (Waterloo),"Previously at 158 Waterloo Road (<a href=""http://flickr.com/photos/kake_pugh/2669855002/"">photo</a>), but moved to Lower Marsh in early 2015 due to redevelopment of the old site.  Closed down in Autumn 2017.","104 Lower Marsh, SE1 7AB",,http://www.gramex.co.uk/,,51.501193,-0.11216153,https://www.flickr.com/photos/kake_pugh/20562490954/,true,false,false,false,,"https://london.randomness.org.uk/wiki.cgi?Book_Warehouse,_SE1_7AB",,,,,,http://londonbooks.tumblr.com/post/119375423866/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bookworm-carshalton,Bookworm (Carshalton),Closed down some time between September 2012 and January 2015.,"23 West Street, SM5 2PT",,,,51.3666308,-0.16724527,https://www.flickr.com/photos/kake_pugh/7976510658/,false,true,false,false,September 2012,"https://london.randomness.org.uk/wiki.cgi?Bookworm,_SM5_2PT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bookworm-finchley-road,Bookworm (Finchley Road),Children's bookshop.,"1177 Finchley Road, NW11 0AA",,,,51.584315,-0.20001461,,,,,true,,,,,,,,http://londonbooks.tumblr.com/post/148238793811/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
british-heart-foundation-streatham,British Heart Foundation Books & Music Shop,,"94 Streatham High Road, SW16 1BS",,https://www.bhf.org.uk/what-we-do/find-bhf-near-you/2014/11/24/21/53/streatham-books-and-music-shop,,51.435162,-0.128531,https://www.flickr.com/photos/kake_pugh/13283821763/,unknown,true,true,true,March 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
british-red-cross-palmers-green,British Red Cross Bookshop,,"385 Green Lanes, N13 4JG",,,,51.619297,-0.107503,,unknown,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brixton-bookmongers,Brixton Bookmongers,,"439 Coldharbour Lane, SW9 8LN",,http://www.bookmongers.com/,,51.461426,-0.113833,https://www.flickr.com/photos/kake_pugh/2809290205/,false,true,false,true,,https://london.randomness.org.uk/wiki.cgi?Brixton_Book_Mongers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
broadway-bookshop-hackney,Broadway Bookshop,,"6 Broadway Market, E8 4QJ",,http://www.broadwaybookshophackney.com/,,51.536835,-0.061433,,unknown,unknown,false,true,,,,,,,,http://londonbooks.tumblr.com/post/110436957031/broadway-bookshop-e8-over-east-london-way-a,http://www.tiredoflondontiredoflife.com/2010/07/search-for-paperbacks-at-broadway.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brockley-bookshop-crofton-park,Crofton Books,Vintage bookshop based in Crofton Park Library.,"375 Brockley Road, Crofton Park, SE4 2AG",,,020 7998 8387,51.455444,-0.036611751,,unknown,true,false,true,,,CroftonBooks,,,,,,,,,,,http://web.archive.org/web/20170708041825/http://www.inprint.co.uk/thebookguide/shops/multi.php?id=2607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bryars-and-bryars-cecil-court,Bryars & Bryars,"First editions at a wide range of prices, with a special focus on travel books, literature, and early printing (especially Greek and Latin classics) as well as antique maps and atlases printed c. 1500-1950.  Located on <a href=""http://cecilcourt.co.uk/"">Cecil Court</a>, a small lane running between Charing Cross Road and St Martin's Lane with several other specialist/rare/antiquarian bookshops.","7 Cecil Court, Covent Garden, WC2N 4EZ",,http://bryarsandbryars.co.uk/,020 7836 1910,51.510703,-0.127422,https://www.flickr.com/photos/kake_pugh/30004560154/,unknown,true,false,true,October 2016,,,,,,,http://londonbooks.tumblr.com/post/142170258461/,,,,,,,,,https://www.bluestockingbooks.co.uk/single-post/2019/03/02/Secret-1-The-first-bookshop-uncovered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
calder-bookshop-southwark,Calder Bookshop,"Holds regular events, including readings in their back room ""theatre"".","51 The Cut, SE1 8LF",,http://www.calderbookshop.com/,,51.502998,-0.106838,,unknown,unknown,false,true,,,CalderBookshop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
